Country,primary_fuel,Count
Afghanistan,Gas,1
Afghanistan,Hydro,6
Afghanistan,Solar,2
Albania,Hydro,7
Albania,Other,1
Algeria,Gas,31
Algeria,Hydro,1
Algeria,Solar,27
Angola,Gas,3
Angola,Hydro,5
Angola,Oil,6
Antarctica,Oil,1
Antarctica,Wind,1
Argentina,Coal,9
Argentina,Gas,57
Argentina,Hydro,50
Argentina,Nuclear,3
Argentina,Oil,96
Argentina,Other,2
Argentina,Solar,7
Argentina,Wind,12
Armenia,Gas,3
Armenia,Hydro,4
Armenia,Nuclear,1
Australia,Biomass,25
Australia,Coal,28
Australia,Gas,134
Australia,Hydro,73
Australia,Oil,42
Australia,Solar,69
Australia,Waste,50
Australia,Wind,65
Austria,Gas,3
Austria,Hydro,96
Austria,Wind,4
Azerbaijan,Gas,8
Azerbaijan,Hydro,5
Azerbaijan,Oil,1
Bahrain,Gas,6
Bahrain,Oil,1
Bahrain,Solar,1
Bangladesh,Coal,1
Bangladesh,Gas,27
Bangladesh,Hydro,1
Bangladesh,Oil,26
Bangladesh,Solar,2
Belarus,Gas,17
Belarus,Solar,7
Belgium,Biomass,2
Belgium,Coal,1
Belgium,Gas,20
Belgium,Hydro,11
Belgium,Nuclear,3
Belgium,Oil,9
Belgium,Solar,3
Belgium,Waste,8
Belgium,Wind,12
Benin,Gas,1
Benin,Oil,1
Bhutan,Hydro,5
Bolivia,Gas,9
Bolivia,Hydro,14
Bolivia,Solar,3
Bosnia and Herzegovina,Coal,4
Bosnia and Herzegovina,Hydro,16
Botswana,Coal,2
Brazil,Biomass,444
Brazil,Coal,19
Brazil,Gas,118
Brazil,Hydro,701
Brazil,Nuclear,2
Brazil,Oil,627
Brazil,Other,1
Brazil,Solar,24
Brazil,Waste,12
Brazil,Wind,412
Brunei Darussalam,Gas,4
Bulgaria,Coal,11
Bulgaria,Hydro,7
Bulgaria,Nuclear,1
Bulgaria,Solar,23
Bulgaria,Wind,1
Burkina Faso,Hydro,2
Burkina Faso,Oil,3
Burkina Faso,Solar,2
Burundi,Hydro,3
Burundi,Solar,1
Cambodia,Biomass,1
Cambodia,Coal,2
Cambodia,Hydro,5
Cambodia,Oil,3
Cambodia,Solar,3
Cambodia,Waste,2
Cameroon,Gas,1
Cameroon,Hydro,3
Cameroon,Oil,4
Canada,Biomass,111
Canada,Coal,15
Canada,Gas,75
Canada,Hydro,556
Canada,Nuclear,6
Canada,Oil,9
Canada,Other,2
Canada,Solar,143
Canada,Wave and Tidal,1
Canada,Wind,241
Cape Verde,Oil,3
Cape Verde,Solar,1
Central African Republic,Hydro,1
Central African Republic,Oil,1
Chile,Biomass,22
Chile,Coal,14
Chile,Gas,11
Chile,Hydro,99
Chile,Oil,73
Chile,Petcoke,1
Chile,Solar,77
Chile,Wind,18
China,Coal,946
China,Gas,170
China,Geothermal,2
China,Hydro,947
China,Nuclear,12
China,Oil,5
China,Solar,1318
China,Wind,835
Colombia,Coal,5
Colombia,Gas,5
Colombia,Hydro,12
Colombia,Oil,1
Colombia,Solar,2
Congo,Gas,2
Congo,Hydro,4
Congo,Oil,2
Costa Rica,Geothermal,5
Costa Rica,Hydro,18
Costa Rica,Oil,3
Costa Rica,Solar,1
Cote DIvoire,Gas,3
Cote DIvoire,Hydro,5
Croatia,Coal,1
Croatia,Gas,4
Croatia,Hydro,17
Croatia,Oil,2
Cuba,Gas,2
Cuba,Oil,9
Cuba,Solar,2
Cuba,Wind,1
Cyprus,Gas,1
Cyprus,Oil,2
Czech Republic,Coal,22
Czech Republic,Gas,3
Czech Republic,Hydro,8
Czech Republic,Nuclear,2
Czech Republic,Solar,427
Democratic Republic of the Congo,Gas,1
Democratic Republic of the Congo,Hydro,13
Democratic Republic of the Congo,Oil,1
Denmark,Biomass,1
Denmark,Coal,10
Denmark,Gas,3
Denmark,Geothermal,1
Denmark,Oil,1
Denmark,Solar,12
Denmark,Wind,19
Djibouti,Oil,1
Dominican Republic,Coal,2
Dominican Republic,Gas,1
Dominican Republic,Hydro,3
Dominican Republic,Oil,5
Dominican Republic,Solar,3
Dominican Republic,Wind,1
Ecuador,Gas,4
Ecuador,Hydro,10
Ecuador,Oil,6
Ecuador,Solar,2
Egypt,Gas,33
Egypt,Hydro,4
Egypt,Oil,5
Egypt,Solar,19
Egypt,Wind,1
El Salvador,Geothermal,2
El Salvador,Hydro,4
El Salvador,Oil,2
El Salvador,Solar,8
Equatorial Guinea,Gas,2
Equatorial Guinea,Hydro,1
Eritrea,Oil,2
Estonia,Gas,2
Estonia,Oil,2
Estonia,Wind,13
Ethiopia,Geothermal,1
Ethiopia,Hydro,11
Ethiopia,Wind,1
Fiji,Biomass,3
Fiji,Hydro,4
Fiji,Oil,4
Fiji,Wind,1
Finland,Biomass,39
Finland,Coal,5
Finland,Gas,17
Finland,Hydro,95
Finland,Nuclear,2
Finland,Oil,11
Finland,Other,4
Finland,Wind,12
France,Biomass,148
France,Coal,5
France,Gas,9
France,Geothermal,1
France,Hydro,429
France,Nuclear,19
France,Oil,5
France,Solar,817
France,Wave and Tidal,1
France,Wind,721
French Guiana,Biomass,1
French Guiana,Gas,2
French Guiana,Hydro,1
French Guiana,Oil,1
French Guiana,Solar,1
Gabon,Gas,2
Gabon,Hydro,3
Gabon,Oil,1
Gambia,Oil,2
Georgia,Gas,3
Georgia,Hydro,16
Germany,Biomass,53
Germany,Coal,96
Germany,Gas,180
Germany,Hydro,112
Germany,Nuclear,7
Germany,Oil,24
Germany,Other,11
Germany,Solar,735
Germany,Waste,66
Germany,Wind,25
Ghana,Gas,2
Ghana,Hydro,3
Ghana,Solar,1
Greece,Coal,6
Greece,Gas,12
Greece,Hydro,18
Greece,Oil,3
Greece,Solar,38
Greece,Waste,1
Greece,Wind,12
Guatemala,Biomass,13
Guatemala,Coal,5
Guatemala,Geothermal,2
Guatemala,Hydro,30
Guatemala,Oil,19
Guatemala,Solar,3
Guatemala,Waste,2
Guatemala,Wind,2
Guinea,Hydro,6
Guinea,Oil,3
Guinea-Bissau,Oil,1
Guyana,Biomass,1
Guyana,Oil,4
Honduras,Biomass,4
Honduras,Gas,1
Honduras,Geothermal,1
Honduras,Hydro,12
Honduras,Oil,5
Honduras,Solar,15
Honduras,Waste,1
Honduras,Wind,1
Hungary,Coal,3
Hungary,Gas,8
Hungary,Nuclear,1
Hungary,Oil,1
Hungary,Solar,5
Iceland,Geothermal,6
Iceland,Hydro,14
India,Biomass,50
India,Coal,253
India,Gas,68
India,Hydro,233
India,Nuclear,9
India,Oil,17
India,Solar,851
India,Wind,108
Indonesia,Coal,70
Indonesia,Gas,41
Indonesia,Geothermal,10
Indonesia,Hydro,41
Indonesia,Oil,16
Iran,Gas,60
Iran,Hydro,19
Iran,Nuclear,1
Iran,Oil,18
Iran,Solar,8
Iran,Wind,1
Iraq,Gas,14
Iraq,Hydro,8
Iraq,Oil,6
Ireland,Biomass,1
Ireland,Coal,1
Ireland,Gas,10
Ireland,Hydro,3
Ireland,Oil,6
Ireland,Wind,38
Israel,Coal,2
Israel,Gas,18
Israel,Solar,37
Israel,Wind,2
Italy,Coal,9
Italy,Gas,57
Italy,Geothermal,33
Italy,Hydro,58
Italy,Oil,11
Italy,Other,4
Italy,Solar,223
Italy,Wind,1
Jamaica,Gas,1
Jamaica,Hydro,3
Jamaica,Oil,4
Jamaica,Solar,1
Jamaica,Wind,1
Japan,Coal,51
Japan,Gas,29
Japan,Geothermal,14
Japan,Hydro,55
Japan,Nuclear,16
Japan,Oil,26
Japan,Solar,324
Japan,Waste,1
Japan,Wind,6
Jordan,Gas,7
Jordan,Oil,1
Jordan,Solar,25
Kazakhstan,Coal,22
Kazakhstan,Gas,2
Kazakhstan,Hydro,4
Kazakhstan,Solar,5
Kenya,Geothermal,6
Kenya,Hydro,8
Kenya,Oil,6
Kenya,Solar,1
Kenya,Wind,2
Kosovo,Coal,2
Kuwait,Gas,8
Kuwait,Solar,1
Kyrgyzstan,Coal,1
Kyrgyzstan,Hydro,6
Kyrgyzstan,Oil,1
Laos,Coal,1
Laos,Hydro,19
Latvia,Gas,2
Latvia,Hydro,3
Lebanon,Gas,2
Lebanon,Oil,5
Lesotho,Hydro,1
Liberia,Hydro,1
Liberia,Oil,1
